,id,book,book2,chapter,verse,language,stem,und_do,L_object,K_object,infinitive_object,indirect_object,benefactive,location,dir_object,valence,obj_valence,source,remarks,main_sub,txt_type,genre,remarks,
8,427292,Genesis,Genesis,9,3,hbo,qal,0,0,1,0,1,0,0,1,101001,1010,P,P,main,Q,prose,,
19,427784,Genesis,Genesis,15,10,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,E,E,,,prose,,
21,427828,Genesis,Genesis,16,3,hbo,qal,0,1,0,0,2,0,0,1,110002,1100,P,P,main,N,prose,,
24,427898,Genesis,Genesis,17,5,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,P,P,subadv,Q,prose,,
25,427900,Genesis,Genesis,17,6,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,P,P,main,Q,prose,,
26,427904,Genesis,Genesis,17,8,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,main,Q,prose,,
28,427948,Genesis,Genesis,17,20,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,P,P,main,Q,prose,,
31,428324,Genesis,Genesis,20,6,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,E,E,,,prose,,
38,428636,Genesis,Genesis,23,9,hbo,qal,0,1,0,0,1,0,1,1,110011,1100,P,P,main,Q,prose,,
57,429412,Genesis,Genesis,27,37,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,J,J,main,Q,prose,close to FJM case,
65,429651,Genesis,Genesis,29,24,hbo,qal,0,0,0,0,2,0,0,2,200002,2000,J,J,main,N,prose,,
68,429666,Genesis,Genesis,29,28,hbo,qal,0,1,0,0,2,0,0,1,110002,1100,E,E,main,N,prose,,
69,429667,Genesis,Genesis,29,29,hbo,qal,0,1,0,0,2,0,0,1,110002,1100,P,P,main,N,prose,,
71,429717,Genesis,Genesis,30,4,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,J,J,main,N,prose,"Eissfeldt: P/J, Petersson: P",
73,429736,Genesis,Genesis,30,9,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,J,J,main,N,prose,Eissfeldt: P/J,
83,429890,Genesis,Genesis,31,7,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,E,E,,,prose,,
86,430349,Genesis,Genesis,34,8,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,main,Q,prose,,
90,430365,Genesis,Genesis,34,12,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,J,J,main,Q,prose,,
119,431307,Genesis,Genesis,41,45,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,E,E,main,N,prose,,
145,432227,Genesis,Genesis,48,4,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,P,P,main,Q,prose,,
146,432228,Genesis,Genesis,48,4,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,P,P,main,Q,prose,,
153,432831,Exodus,Exodus,3,19,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,J,J,,,prose,,
163,433137,Exodus,Exodus,6,8,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,P,P,main,Q,prose,,
164,433199,Exodus,Exodus,7,1,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,P,P,main,Q,prose,,
171,433829,Exodus,Exodus,12,23,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,J,J,main,Q,prose,,
178,434324,Exodus,Exodus,16,15,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,submod,Q,prose,,
183,434588,Exodus,Exodus,18,25,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,E,E,main,N,prose,,
196,435109,Exodus,Exodus,23,27,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,J,J,main,Q,prose,,
277,437320,Leviticus,Leviticus,6,10,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,P,P,main,Q,prose,,
278,437483,Leviticus,Leviticus,7,32,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,E,E,main,Q,prose,,
279,437488,Leviticus,Leviticus,7,34,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,main,N,prose,,
299,438321,Leviticus,Leviticus,14,34,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,submod,Q,prose,,
309,438788,Leviticus,Leviticus,18,21,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,P,P,,,prose,,
343,439732,Leviticus,Leviticus,26,19,hbo,qal,0,0,1,0,0,0,0,1,101000,1010,P,P,,,prose,,
348,439770,Leviticus,Leviticus,26,31,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,P,P,main,Q,prose,,
370,440444,Numbers,Numbers,5,21,hbo,qal,0,1,0,0,0,0,1,1,110010,1100,E,E,main,Q,prose,,
371,440445,Numbers,Numbers,5,21,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,P,P,subadv,Q,prose,,
381,440814,Numbers,Numbers,8,19,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,J,J,main,N,prose,,
395,441581,Numbers,Numbers,15,21,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,J,J,main,Q,prose,,
405,441916,Numbers,Numbers,18,7,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,E,E,main,Q,prose,,
411,441957,Numbers,Numbers,18,19,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,main,Q,prose,,
412,441965,Numbers,Numbers,18,21,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,J,J,main,Q,prose,,
413,441974,Numbers,Numbers,18,24,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,J,J,subadv,Q,prose,,
421,442169,Numbers,Numbers,20,21,hbo,qal,0,0,0,0,0,0,0,2,200000,1001,E,E,,,prose,probleem in mijn programma,
426,442284,Numbers,Numbers,21,23,hbo,qal,0,0,0,0,0,0,0,2,200000,1001,P,P,,,prose,probleem in mijn programma,
427,442312,Numbers,Numbers,21,29,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,J,J,main,Q,prose,"lastig geval, komt nog een clause achteraan",
429,442397,Numbers,Numbers,22,13,hbo,qal,0,0,0,0,0,0,0,2,200000,1001,E,E,,,prose,probleem in mijn programma,
432,442815,Numbers,Numbers,25,12,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,P,P,main,Q,prose,,
443,443334,Numbers,Numbers,31,29,hbo,qal,1,0,0,0,1,0,0,1,100001,2000,P,P,main,Q,prose,,
447,443399,Numbers,Numbers,32,5,hbo,hof,0,1,0,0,1,0,0,1,110001,1100,J,J,main,Q,prose,anderen:P,
450,443476,Numbers,Numbers,32,29,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,P,P,main,Q,prose,,
459,443730,Numbers,Numbers,35,6,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,P,P,,,prose,,
471,443923,Deuteronomy,Deuteronomy,1,15,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,main,N,prose,,
480,444090,Deuteronomy,Deuteronomy,2,5,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,subadv,N,prose,,
481,444107,Deuteronomy,Deuteronomy,2,9,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,subadv,Q,prose,,
482,444108,Deuteronomy,Deuteronomy,2,9,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,subadv,Q,prose,,
484,444139,Deuteronomy,Deuteronomy,2,19,hbo,qal,0,0,0,0,1,0,1,2,200011,2000,,good,subadv,D,prose,,
485,444140,Deuteronomy,Deuteronomy,2,19,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,subadv,D,prose,,
506,444410,Deuteronomy,Deuteronomy,4,21,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,N,prose,,
507,444483,Deuteronomy,Deuteronomy,4,38,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,subadv,N,prose,,
553,445596,Deuteronomy,Deuteronomy,15,4,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,Q,prose,,
578,445966,Deuteronomy,Deuteronomy,19,10,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,Q,prose,,
583,446092,Deuteronomy,Deuteronomy,20,16,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,D,prose,,
588,446214,Deuteronomy,Deuteronomy,21,23,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,D,prose,,
589,446272,Deuteronomy,Deuteronomy,22,16,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,,
596,446449,Deuteronomy,Deuteronomy,24,4,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,D,prose,,
599,446596,Deuteronomy,Deuteronomy,25,19,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,D,prose,,
600,446602,Deuteronomy,Deuteronomy,26,1,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,submod,Q,prose,,
611,446679,Deuteronomy,Deuteronomy,26,19,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,subadv,Q,prose,,
614,446790,Deuteronomy,Deuteronomy,28,1,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prose,,
615,446802,Deuteronomy,Deuteronomy,28,7,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,main,Q,prose,,
619,446824,Deuteronomy,Deuteronomy,28,13,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,Q,prose,,
620,446867,Deuteronomy,Deuteronomy,28,24,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,Q,prose,,
641,447580,Deuteronomy,Deuteronomy,32,49,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,submod,Q,prose,,
666,448713,Joshua,Joshua,9,27,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,main,N,prose,,
669,448794,Joshua,Joshua,10,19,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,subadv,Q,prose,,
673,448926,Joshua,Joshua,11,6,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,subadv,Q,prose,,
675,448991,Joshua,Joshua,11,23,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,N,prose,,
676,449005,Joshua,Joshua,12,6,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,main,N,prose,,
677,449009,Joshua,Joshua,12,7,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,main,N,prose,,
689,449177,Joshua,Joshua,14,13,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,N,prose,,
691,449237,Joshua,Joshua,15,16,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,make a wife,
692,449239,Joshua,Joshua,15,17,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,N,prose,,
694,449249,Joshua,Joshua,15,19,hbo,qal,0,0,0,0,0,0,0,2,200000,2000,,good,main,N,prose,,
699,449370,Joshua,Joshua,17,13,hbo,qal,0,1,0,0,0,0,0,1,110000,1100,,good,main,N,prose,,
700,449374,Joshua,Joshua,17,14,hbo,qal,0,0,0,0,1,0,0,2,200001,2000,,good,main,Q,prose,,
722,449790,Joshua,Joshua,22,25,hbo,qal,0,0,0,0,0,0,1,2,200010,2000,,good,main,Q,prose,,
735,450106,Judges,Judges,1,12,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,make a wife,
736,450109,Judges,Judges,1,13,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,N,prose,make a wife,
741,450178,Judges,Judges,1,34,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,,,prose,,
747,450397,Judges,Judges,3,28,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,,,prose,,
779,451917,Judges,Judges,15,1,hbo,qal,0,0,0,1,0,0,0,1,100100,1001,,good,,,prose,,
794,452796,Judges,Judges,21,1,hbo,qal,0,1,0,0,1,0,0,1,110001,1100,,good,main,Q,prose,make a wife,
